League,Season,League_Position,Team,Points,W,D,L,GF,GA
Serie A,2018-2019,12,Udinese,43,11,10,17,39,53
Serie A,2018-2019,13,SPAL,42,11,9,18,44,56
Serie A,2018-2019,14,Parma,41,10,11,17,41,61
Serie A,2018-2019,15,Cagliari,41,10,11,17,36,54
Serie A,2018-2019,16,Fiorentina,41,8,17,13,47,45
Serie A,2018-2019,17,Genoa,38,8,14,16,39,57
Serie A,2018-2019,18,Empoli,38,10,8,20,51,70
Serie A,2018-2019,19,Frosinone,25,5,10,23,29,69
Serie A,2018-2019,20,Chievo Verona,17,2,14,22,25,75
Serie A,2019-2020,1,Juventus,83,26,5,7,76,43
Serie A,2019-2020,2,Internazionale,82,24,10,4,81,36
Serie A,2019-2020,3,Atalanta,78,23,9,6,98,48
Serie A,2019-2020,4,Lazio,78,24,6,8,79,42
Serie A,2019-2020,5,AS Roma,70,21,7,10,77,51
Serie A,2019-2020,6,AC Milan,66,19,9,10,63,46
Serie A,2019-2020,7,Napoli,62,18,8,12,61,50
Serie A,2019-2020,8,Sassuolo,51,14,9,15,69,63
Serie A,2019-2020,9,Hellas Verona,49,12,13,13,47,51
Serie A,2019-2020,10,Fiorentina,49,12,13,13,51,48
Serie A,2019-2020,11,Parma,49,14,7,17,56,57
Serie A,2019-2020,12,Bologna,47,12,11,15,52,65
Serie A,2019-2020,13,Udinese,45,12,9,17,37,51
Serie A,2019-2020,14,Cagliari,45,11,12,15,52,56
Serie A,2019-2020,15,Sampdoria,42,12,6,20,48,65
Serie A,2019-2020,16,Torino,40,11,7,20,46,68
Serie A,2019-2020,17,Genoa,39,10,9,19,47,73
Serie A,2019-2020,18,Lecce,35,9,8,21,52,85
Serie A,2019-2020,19,Brescia,25,6,7,25,35,79
Serie A,2019-2020,20,SPAL,20,5,5,28,27,77
Serie A,2020-2021,1,Internazionale,91,28,7,3,89,35
Serie A,2020-2021,2,AC Milan,79,24,7,7,74,41
Serie A,2020-2021,3,Atalanta,78,23,9,6,90,47
Serie A,2020-2021,4,Juventus,78,23,9,6,77,38
Serie A,2020-2021,5,Napoli,77,24,5,9,86,41
Serie A,2020-2021,6,Lazio,68,21,5,12,61,55
Serie A,2020-2021,7,AS Roma,62,18,8,12,68,58
Serie A,2020-2021,8,Sassuolo,62,17,11,10,64,56
Serie A,2020-2021,9,Sampdoria,52,15,7,16,52,54
Serie A,2020-2021,10,Hellas Verona,45,11,12,15,46,48
Serie A,2020-2021,11,Genoa,42,10,12,16,47,58
Serie A,2020-2021,12,Bologna,41,10,11,17,51,65
Serie A,2020-2021,13,Fiorentina,40,9,13,16,47,59
Serie A,2020-2021,14,Udinese,40,10,10,18,42,58
Serie A,2020-2021,15,Spezia,39,9,12,17,52,72
Serie A,2020-2021,16,Cagliari,37,9,10,19,43,59
Serie A,2020-2021,17,Torino,37,7,16,15,50,69
Serie A,2020-2021,18,Benevento,33,7,12,19,40,75
Serie A,2020-2021,19,Crotone,23,6,5,27,45,92
Serie A,2020-2021,20,Parma,20,3,11,24,39,83
Serie A,2021-2022,1,AC Milan,86,26,8,4,69,31
Serie A,2021-2022,2,Internazionale,84,25,9,4,84,32
Serie A,2021-2022,3,Napoli,79,24,7,7,74,31
Serie A,2021-2022,4,Juventus,70,20,10,8,57,37
Serie A,2021-2022,5,Lazio,64,18,10,10,77,58
Serie A,2021-2022,6,AS Roma,63,18,9,11,59,43
Serie A,2021-2022,7,Fiorentina,62,19,5,14,59,51
Serie A,2021-2022,8,Atalanta,59,16,11,11,65,48
Serie A,2021-2022,9,Hellas Verona,53,14,11,13,65,59
Serie A,2021-2022,10,Torino,50,13,11,14,46,41
Serie A,2021-2022,11,Sassuolo,50,13,11,14,64,66
Serie A,2021-2022,12,Udinese,47,11,14,13,61,58
Serie A,2021-2022,13,Bologna,46,12,10,16,44,55
Serie A,2021-2022,14,Empoli,41,10,11,17,50,70
Serie A,2021-2022,15,Sampdoria,36,10,6,22,46,63
Serie A,2021-2022,16,Spezia,36,10,6,22,41,71
Serie A,2021-2022,17,Salernitana,31,7,10,21,33,78
Serie A,2021-2022,18,Cagliari,30,6,12,20,34,68
Serie A,2021-2022,19,Genoa,28,4,16,18,27,60
Serie A,2021-2022,20,Venezia,27,6,9,23,34,69
Serie A,2022-2023,1,Napoli,90,28,6,4,77,28
Serie A,2022-2023,2,Lazio,74,22,8,8,60,30
Serie A,2022-2023,3,Internazionale,72,23,3,12,71,42
Serie A,2022-2023,4,AC Milan,70,20,10,8,64,43
Serie A,2022-2023,5,Atalanta,64,19,7,12,66,48
Serie A,2022-2023,6,AS Roma,63,18,9,11,50,38
Serie A,2022-2023,7,Juventus,62,22,6,10,56,33
Serie A,2022-2023,8,Fiorentina,56,15,11,12,53,43
Serie A,2022-2023,9,Bologna,54,14,12,12,53,49
Serie A,2022-2023,10,Torino,53,14,11,13,42,41
Serie A,2022-2023,11,Monza,52,14,10,14,48,52
Serie A,2022-2023,12,Udinese,46,11,13,14,47,48
Serie A,2022-2023,13,Sassuolo,45,12,9,17,47,61
Serie A,2022-2023,14,Empoli,43,10,13,15,37,49
Serie A,2022-2023,15,Salernitana,42,9,15,14,48,62
Serie A,2022-2023,16,Lecce,36,8,12,18,33,46
Serie A,2022-2023,17,Spezia,31,6,13,19,31,62
Serie A,2022-2023,18,Hellas Verona,31,7,10,21,31,59
Serie A,2022-2023,19,Cremonese,27,5,12,21,36,69
Serie A,2022-2023,20,Sampdoria,19,3,10,25,24,71
Serie A,2023-2024,1,Internazionale,94,29,7,2,89,22
Serie A,2023-2024,2,AC Milan,75,22,9,7,76,49
Serie A,2023-2024,3,Juventus,71,19,14,5,54,31
Serie A,2023-2024,4,Atalanta,69,21,6,11,72,42
Serie A,2023-2024,5,Bologna,68,18,14,6,54,32
Serie A,2023-2024,6,AS Roma,63,18,9,11,65,46
Serie A,2023-2024,7,Lazio,61,18,7,13,49,39
Serie A,2023-2024,8,Fiorentina,60,17,9,12,61,46
Serie A,2023-2024,9,Torino,53,13,14,11,36,36
Serie A,2023-2024,10,Napoli,53,13,14,11,55,48
Serie A,2023-2024,11,Genoa,49,12,13,13,45,45
Serie A,2023-2024,12,Monza,45,11,12,15,39,51
Serie A,2023-2024,13,Hellas Verona,38,9,11,18,38,51
Serie A,2023-2024,14,Lecce,38,8,14,16,32,54
Serie A,2023-2024,15,Udinese,37,6,19,13,37,53
Serie A,2023-2024,16,Cagliari,36,8,12,18,42,68
Serie A,2023-2024,17,Empoli,36,9,9,20,29,54
Serie A,2023-2024,18,Frosinone,35,8,11,19,44,69
Serie A,2023-2024,19,Sassuolo,30,7,9,22,43,75
Serie A,2023-2024,20,Salernitana,17,2,11,25,32,81
Serie A,2024-2025,1,Napoli,82,24,10,4,59,27
Serie A,2024-2025,2,Internazionale,81,24,9,5,79,35
Serie A,2024-2025,3,Atalanta,74,22,8,8,78,37
Serie A,2024-2025,4,Juventus,70,18,16,4,58,35
Serie A,2024-2025,5,AS Roma,69,20,9,9,56,35
Serie A,2024-2025,6,Fiorentina,65,19,8,11,60,41
Serie A,2024-2025,7,Lazio,65,18,11,9,61,49
Serie A,2024-2025,8,AC Milan,63,18,9,11,61,43
Serie A,2024-2025,9,Bologna,62,16,14,8,57,47
Serie A,2024-2025,10,Como,49,13,10,15,49,52
Serie A,2024-2025,11,Torino,44,10,14,14,39,45
Serie A,2024-2025,12,Udinese,44,12,8,18,41,56
Serie A,2024-2025,13,Genoa,43,10,13,15,37,49
Serie A,2024-2025,14,Hellas Verona,37,10,7,21,34,66
Serie A,2024-2025,15,Cagliari,36,9,9,20,40,56
Serie A,2024-2025,16,Parma,36,7,15,16,44,58
Serie A,2024-2025,17,Lecce,34,8,10,20,27,58
Serie A,2024-2025,18,Empoli,31,6,13,19,33,59
Serie A,2024-2025,19,Venezia,29,5,14,19,32,56
Serie A,2024-2025,20,Monza,18,3,9,26,28,69
