League,Season,League_Position,Team,Points,W,D,L,GF,GA
Bundesliga,2022-2023,1,Bayern Munich,71,21,8,5,92,38
Bundesliga,2022-2023,2,Borussia Dortmund,71,22,5,7,83,44
Bundesliga,2022-2023,3,RB Leipzig,66,20,6,8,64,41
Bundesliga,2022-2023,4,1. FC Union Berlin,62,18,8,8,51,38
Bundesliga,2022-2023,5,SC Freiburg,59,17,8,9,51,44
Bundesliga,2022-2023,6,Bayer Leverkusen,50,14,8,12,57,49
Bundesliga,2022-2023,7,Eintracht Frankfurt,50,13,11,10,58,52
Bundesliga,2022-2023,8,VfL Wolfsburg,49,13,10,11,57,48
Bundesliga,2022-2023,9,Mainz,46,12,10,12,54,55
Bundesliga,2022-2023,10,Borussia Mönchengladbach,43,11,10,13,52,55
Bundesliga,2022-2023,11,FC Cologne,42,10,12,12,49,54
Bundesliga,2022-2023,12,TSG Hoffenheim,36,10,6,18,48,57
Bundesliga,2022-2023,13,Werder Bremen,36,10,6,18,51,64
Bundesliga,2022-2023,14,VfL Bochum,35,10,5,19,40,72
Bundesliga,2022-2023,15,FC Augsburg,34,9,7,18,42,63
Bundesliga,2022-2023,16,VfB Stuttgart,33,7,12,15,45,57
Bundesliga,2022-2023,17,Schalke 04,31,7,10,17,35,71
Bundesliga,2022-2023,18,Hertha Berlin,29,7,8,19,42,69
