League,Season,League_Position,Team,Points,W,D,L,GF,GA
La Liga,2023-2024,1,Real Madrid,95,29,8,1,87,26
La Liga,2023-2024,2,Barcelona,85,26,7,5,79,44
La Liga,2023-2024,3,Girona,81,25,6,7,85,46
La Liga,2023-2024,4,Atlético Madrid,76,24,4,10,70,43
La Liga,2023-2024,5,Athletic Club,68,19,11,8,61,37
La Liga,2023-2024,6,Real Sociedad,60,16,12,10,51,39
La Liga,2023-2024,7,Real Betis,57,14,15,9,48,45
La Liga,2023-2024,8,Villarreal,53,14,11,13,65,65
La Liga,2023-2024,9,Valencia,49,13,10,15,40,45
La Liga,2023-2024,10,Alavés,46,12,10,16,36,46
La Liga,2023-2024,11,Osasuna,45,12,9,17,45,56
La Liga,2023-2024,12,Getafe,43,10,13,15,42,54
La Liga,2023-2024,13,Celta Vigo,41,10,11,17,46,57
La Liga,2023-2024,14,Sevilla,41,10,11,17,48,54
La Liga,2023-2024,15,Mallorca,40,8,16,14,33,44
La Liga,2023-2024,16,Las Palmas,40,10,10,18,33,47
La Liga,2023-2024,17,Rayo Vallecano,38,8,14,16,29,48
La Liga,2023-2024,18,Cádiz,33,6,15,17,26,55
La Liga,2023-2024,19,Almería,21,3,12,23,43,75
La Liga,2023-2024,20,Granada,21,4,9,25,38,79
